,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line720,And at their Backs a mighty Trojan Throng:,"Thro Swords, and Foes, amaz'd and hurt, he flies",And pious Rites to Grecian Juno paid.,Nor thought so dire a Rage possess'd her Mind.,"He said, and calling out, the Cirque he clears;","While thus, in talk, the flying Hours they pass,","The Veline Fountains, and sulphureous Nar,",And on his Altars wak'd the sleeping Fires:,"Till crowding to the Corners of the Wall,","His plighted Hand, and hospitable Ties.",And with disorder'd haste the Rampires crown.,"His inborn ardour, now invades the Field:"
line721,"Whom late the Tempest on the Billows tost,","Through empty Courts, and open Galleries:","These dues perform'd, we stretch our Sails, and stand","Unknowing of a Train conceal'd so well,","The Crowd withdrawn, an open Plain appears.",The Sun had finish'd more than half his Race:,"Shake at the baleful Blast, the Signal of the War.",Then chearful to his Household-Gods retires.,"Down the Defence, and the Defenders fall.","Four Sons of Sulmo, four whom Ufens bred,","Good old Latinus, when he saw, too late,","Invokes the Pow'rs of violated Peace,"
line722,And widely scatter'd on another Coast.,"Him Pyrrhus, urging with his Lance, pursues;","To Sea, forsaking that suspected Land.",She fear'd no worse than when Sichaeus fell:,"And now the Noble Youths, of Form Divine,","And they, perhaps, in Words and Tears had spent","Young Mothers wildly stare, with Fear possess'd,",There offers chosen Sheep: Th' Arcadian King,"The mighty flaw makes Heav'n it self resound,","He took in fight, and living Victims led,","The gath'ring Storm, just breaking on the State,","Their Rites, and injur'd Altars to redress:"
line723,"The Prince, unseen, surpriz'd with Wonder stands,","And often reaches, and his thrusts renews.",From hence Tarentum's Bay appears in view;,"Therefore obeys. The fatal Pile they rear,","Advance before their Fathers, in a Line:","The little time of stay, which Heav'n had lent.",And strain their helpless Infants to their Breast.,And Trojan Youth the same Oblations bring.,"The Dead, and dying Trojans strew the Ground.",To please the Ghost of Pallas; and expire,"Dismiss'd the Council, 'till a fitter time.","Then, to his Rage abandoning the Rein,"
line724,"And longs, with joyful haste to join their Hands:","The Youth transfix'd, with lamentable Cries","For Hercules renown'd, if Fame be true.","Within the secret Court, expos'd in Air.",The Riders grace the Steeds; the Steeds with Glory shine.,But thus the Sibyl chides their long delay;,"The Clowns, a boist'rous, rude, ungovern'd Crew,","Next of his Men, and Ships, he makes review,","The Tow'r that follow'd on the fallen Crew,","In Sacrifice, before his Fun'ral Fire.",And own'd his easie Temper as his Crime:,With Blood and slaughter'd Bodies fills the Plain.
line725,"But doubtful of the wish'd Event, he stays,","Expires, before his wretched Parent's Eyes.","Just opposite, Lacinian Juno stands;",The cloven Holms and Pines are heap'd on high;,"Thus marching on, in Military Pride,","Night rushes down, and headlong drives the Day:",With furious haste to the loud Summons flew.,"Draws out the best, and ablest of the Crew.","Whelm'd o're their Heads, and bury'd whom it slew:",At Magus next he threw: He stoop'd below,"Who, forc'd against his reason, had comply'd","What God can tell, what Numbers can display"
line726,And from the hollow Cloud his Friends surveys:,"Whom, gasping at his feet, when Priam saw,",Caulonian Tow'rs and Scylacaean Strands.,And Garlands on the hollow Spaces lye.,Shouts of Applause resound from side to fide.,"Tis here, in different Paths, the way divides:","The Pow'rs of Troy then issuing on the Plain,",Down with the falling Stream the Refuse run:,Some stuck upon the Darts themselves had sent;,"The flying Spear, and shun'd the promis'd Blow.",To break the Treaty for the promis'd Bride.,The various Labours of that fatal Day!
line727,"Impatient 'till they told their present State,",The Fear of death gave place to Nature's Law.,"For Shipwrecks fear'd: Mount Etna thence we spy,","Sad Cypress, Vervain, Eugh, compose the Wreath;","Their Casques, adorn'd with Lawrel Wreaths, they wear.","The right, to Pluto's Golden Palace guides:",With fresh Recruits their youthful Chief sustain:,To raise with joyful News his drooping Son.,"All, the same equal Ruin underwent.","Then creeping, clasp'd the Hero's Knees, and pray'd▪","Some help to sink new Trenches, others aid","What Chiefs, and Champions fell on either side,"
line728,"And where they left their Ships, and what their Fate;","And shaking more with Anger, than with Age,",Known by the smoaky Flames which Cloud the Skie.,And ev'ry baleful green denoting Death.,Each brandishing aloft a Cornel Spear.,"The left to that unhappy Region tends,","Not theirs a raw and unexperienc'd Train,",Steeds are prepar'd to mount the Trojan Band;,Young Lycus and Helenor only scape;,"By young Iulus, by thy Father's Shade,","To ram the Stones, or raise the Palisade.","In Combat slain, or by what Deaths they dy'd?"
line729,"And why they came, and what was their Request:","The Gods, said He, requite thy brutal Rage:","Far off we hear the Waves, with surly sound","The Queen, determin'd to the fatal Deed,",Some at their Backs their guilded Quivers bore;,Which to the depth of Tartarus descends;,But a firm Body of embattel'd Men.,Who wait their Leader to the Tyrrhene Land.,"Sav'd, how they know not, from the steepy Leap.","O spare my Life, and send me back to see",Hoarse Trumpets sound th' Alarm: Around the Walls,"Whom Turnus, whom the Trojan Heroe kill'd:"
line730,"For these were sent commission'd by the rest,","As sure they will, Barbarian, sure they must,","Invade the Rocks, the Rocks their groans rebound.","The Spoils and Sword he left, in order spread:",Their Chains of burnish'd Gold hung down before.,"The Seat of Night profound, and punish'd Fiends.","At first, while Fortune favour'd neither side,","A sprightly Courser, fairer than the rest,","Helenor, elder of the two; by Birth,","My longing Sire, and tender Progeny.","Runs a distracted Crew, whom their last Labour calls.","Who shar'd the Fame, and fortune of the Field?"
line731,"To sue for leave to land their sickly Men,","If there be Gods in Heav'n, and Gods be just:",The Billows break upon the sounding Strand;,And the Man's Image on the Nuptial Bed.,Three graceful Troops they form'd upon the Green;,Then thus Deiphobus: O Sacred Maid!,The Fight with Clubs and burning Brands was try'd:,The King himself presents his Royal Guest.,"On one side Royal, one a Son of Earth,","A lofty House I have, and Wealth untold,","A sad Procession in the Streets is seen,","Jove, cou'dst thou view, and not avert thy sight,"
line732,And gain Admission to the Gracious Queen.,Who tak'st in Wrongs an insolent delight;,"And roul the rising Tide, impure with Sand.",And now (the sacred Altars plac'd around),Three graceful Leaders at their Head were seen;,Forbear to chide; and be your Will Obey'd:,"But now, both Parties reinfor'd, the Fields",A Lyons Hide his Back and Limbs infold;,"Whom to the Lydian King, Lycimnia bare,","In Silver Ingots, and in Bars of Gold:",Of Matrons that attend the Mother Queen:,"Two jarring Nations join'd in cruel fight,"
line733,"Ent'ring, with Cries they fill'd the holy Fane;",With a Son's death t'infect a Father's sight.,"Then thus Anchises, in Experience old,","The Priestess enters, with her Hair unbound,","Twelve follow'd ev'ry Chief, and left a Space between.","Lo to the secret Shadows I retire,",Are bright with flaming Swords and brazen Shields.,"Precious with studded work, and Paws of Gold.",And sent her boasted Bastard to the War:,"All these, and Sums besides, which see no Day,","High in her Chair she sits, and at her side,",Whom Leagues of lasting Love so shortly shall unite!
line734,"Then thus, with humble Voice, Ilioneus began.","Not He, whom thou and lying Fame conspire",'Tis that Charibdis which the Seer foretold:,And thrice invokes the Pow'rs below the Ground.,"The first young Priam led; a lovely Boy,",To pay my Penance 'till my Years expire.,"A shining Harvest either Host displays,",Fame through the little City spreads aloud,(A Priviledge which none but Free-men share.),The Ransom of this one poor Life shall pay.,With downcast Eyes appears the fatal Bride.,"Aeneas first Rutulian Sucro found,"
line735,"O Queen! indulg'd by Favour of the Gods,","To call thee his; Not He, thy vaunted Sire,",And those the promis'd Rocks; bear off to Sea:,"Night, Erebus, and Chaos she proclaims,",Whose Grandsire was th' unhappy King of Troy:,"Proceed Auspicious Prince, with Glory Crownd,",And shoots against the Sun with equal Rays.,"Th' intended March, amid the fearful Crowd:","Slight were his Arms, a Sword and Silver Shield,","If I survive, shall Troy the less prevail?","They mount the Cliff, where Pallas's Temple stands;",Whose Valour made the Trojans quit their Ground:
line736,To found an Empire in these new Abodes;,"Thus us'd my wretched Age: The Gods he fear'd,",With haste the frighted Mariners obey.,"And threefold Hecat, with her hundred Names,","His Race in after times was known to Fame,",And born to better Fates than I have found.,"Thus when a black-brow'd Gust begins to rise,",The Matrons beat their Breasts; dissolve in Tears;,No Marks of Honour charg'd its empty Field.,A single Soul's too light to turn the Scale.,"Pray'rs in their Mouths, and Presents in their Hands:","Betwixt his Ribs the Jav'lin drove so just,"
line737,"To build a Town, with Statutes to restrain",The Laws of Nature and of Nations heard.,First Palinurus to the Larboor'd veer'd;,"And three Diana's: next she sprinkles round,",New Honours adding to the Latian Name;,"He said; and while he said, his Steps he turn'd",White Foam at first on the curl'd Ocean fries;,And double their Devotion in their Fears.,"Light as he fell, so light the Youth arose,",He said. The Heroe sternly thus reply'd:,"With Censers, first they fume the sacred Shrine;","It reach'd his Heart, nor needs a second Thrust."
line738,The wild Inhabitants beneath thy Reign:,"He chear'd my Sorrows, and for Sums of Gold",Then all the Fleet by his Example steer'd.,"With feign'd Avernian Drops, the hallow'd ground;",And well the Royal Boy his Thracian Steed became.,To Secret Shadows; and in silence Mourn'd.,"Then roars the Main, the Billows mount the Skies:",The War at hand appears with more affright:,And rising found himself amidst his Foes.,"Thy Barrs, and Ingots, and the Sums beside,",Then in this common Supplication joyn.,"Now Turnus, at two blows, two Brethren slew;"
line739,"We wretched Trojans tost on ev'ry Shore,",The bloodless Carcass of my Hector sold.,To Heav'n aloft on ridgy Waves we ride;,"Culls hoary Simples, found by Phoebe's Light,",White were the Fetlocks of his Feet before;,"The Heroe, looking on the left, espy'd","'Till by the Fury of the Storm full blown,",And rises ev'ry Moment to the sight.,"Nor flight was left, nor hopes to force his Way;",Leave for thy Childrens Lot. Thy Turnus broke,"O Patroness of Arms, unspotted Maid,",First from his Horse fierce Amycus he threw;
line740,"From Sea to Sea, thy Clemency implore:","Pity'd the Woes a Parent underwent,","Then down to Hell descend, when they divide.",With brazen Sickles reap'd at Noon of Night.,And on his Front a snowy Star he bore:,"A lofty Tow'r, and strong on ev'ry side",The muddy Bottom o're the Clouds is thrown.,"Then, old Evander, with a close embrace,","Embolden'd by Despair, he stood at Bay:","All Rules of War, by one relentless Stroke","Propitious hear, and lend thy Latins Aid:","Then leaping on the Ground, on Foot assail'd"
line741,"Forbid the Fires our Shipping to deface,",And sent me back in safety from his Tent.,"And thrice our Gallies knock'd the stony ground,",Then mixes baleful Juices in the Bowl:,"Then beauteous Atys, with Iulus bred,","With treble Walls, which Phlegethon surrounds,","First Almon falls, old Tyrrheus eldest Care,",Strain'd his departing Friend; and Tears o're-flow his Face:,"And like a Stag, whom all the Troop surrounds","When Pallas fell: So deems, nor deems alone,","Break short the Pirat's Lance; pronounce his Fate,","Diores, and in equal Fight prevail'd."
line742,"Receive th' unhappy Fugitives to Grace,","This said, his feeble hand a Javelin threw,","And thrice the hollow Rocks return'd the sound,",And cuts the Forehead of a new-born Fole;,"Of equal Age, the second Squadron led.",Whose fiery Flood the burning Empire bounds:,Pierc'd with an Arrow from the distant War:,"Wou'd Heav'n, said he, my strength and youth recall,","Of eager Huntsmen, and invading Hounds;","My Father's Shadow, but my living Son.",And lay the Phrygian low before the Gate.,Their lifeless Trunks he leaves upon the place;
